"","community_garden","notes","community_center","restrooms_available","skate_park","historic_features","mountain_bike_trails","park_name","picnic_shelters","hiking_trails","picnic_shelters_quantity","disc_golf","football_multi_purpose_fields","tennis_courts","playground","canoe_launch","swimming_pool","mapped_location.human_address","mapped_location.needs_recoding","baseball_fields","spray_park","ada_accessible","nature_center","walk_jog_paths","boat_launch","basketball_courts","camping_available_by_permit","dog_park","fishing_by_permit","volleyball","soccer_fields","acres","horse_trails","golf_course","lake","mapped_location.latitude","mapped_location.longitude"
"31","No"," ","Yes","Yes","No","No","No","Elizabeth Park","No","No","0","No","No","No","No","No","No","{""address"":""1701 Arthur Ave"",""city"":""Nashville"",""state"":""TN"",""zip"":""""}",FALSE,"No","No","No","No","No","No","Yes","No","No","No","No","No","1.6","No","No","No","36.178413","-86.802375"
"32","No"," ","No","No","No","No","No","Elmington Park","No","No","0","No","Yes","Yes","Yes","No","No","{""address"":""3531 West End Ave"",""city"":""Nashville"",""state"":""TN"",""zip"":""""}",FALSE,"Yes","No","Yes","No","Yes","No","No","No","No","No","No","Yes","13.07","No","No","No","36.134878","-86.824511"
"33","No","ADA Approved Playground, picnic shlter and walking track","No","No","No","No","No","England","Yes","No","1","No","No","No","Yes","No","No","{""address"":""811 Delray Dr"",""city"":""Nashville"",""state"":""TN"",""zip"":""""}",FALSE,"No","No","Yes","No","Yes","No","No","No","No","No","No","No","11.25","No","No","No","36.156731","-86.854765"
"34","No"," ","No","Yes","No","No","No","Ezell Road Park","No","No","0","No","No","No","No","No","No","{""address"":""5135 Harding Pl"",""city"":""Nashville"",""state"":""TN"",""zip"":""""}",FALSE,"No","No","No","No","Yes","Yes","No","No","No","No","No","Yes","79.94","No","No","No","36.092956","-86.680355"
"35","No","Dragon Sculpture, 1 Reservable Picnic Shelter, Lilly's Garden Playground","No","Yes","No","No","No","Fannie Mae Dees Park","Yes","No","5","No","No","Yes","Yes","No","No","{""address"":""2400 Blakemore Ave"",""city"":""Nashville"",""state"":""TN"",""zip"":""""}",FALSE,"No","No","Yes","No","No","No","No","No","No","No","No","No","7.65","No","No","No","36.138131","-86.806112"
"36","No"," ","No","No","No","No","No","Flora Wilson Community Park","No","No","0","No","No","No","Yes","No","No","{""address"":""btwn 14th Ave"",""city"":""Nashville"",""state"":""TN"",""zip"":""""}",FALSE,"No","No","Yes","No","Yes","No","No","No","No","No","No","No","0.35","No","No","No",NA,NA
"37","No","Ruins of historic Civil War fort rebuilt by the WPA in 1930s, Ruins, (Portion of Property Leased to Cumberland Museum and Nashville Sounds Baseball)","No","Yes","No","No","No","Fort Negley","No","No","0","No","No","No","Yes","Yes","No","{""address"":""1100 Fort Negley Blvd"",""city"":""Nashville"",""state"":""TN"",""zip"":""""}",FALSE,"No","No","No","No","No","No","No","No","No","No","No","No","57.39","No","No","No","36.142555","-86.775798"
"38","No"," ","No","Yes","No","No","No","Fred Douglas Park","No","No","0","No","No","No","No","No","No","{""address"":""210 N 7th St"",""city"":""Nashville"",""state"":""TN"",""zip"":""""}",FALSE,"Yes","No","No","No","No","No","No","No","No","No","No","No","31.94","No","No","No","36.177053","-86.762373"
"39",NA,"Walking trail","No","No","No","No","No","Gale Lane Community Park","No","No","0","No","No","No","No","No","No","{""address"":""1001 Gale Lane"",""city"":""Nashville"",""state"":""TN"",""zip"":""""}",FALSE,"No","No","No","No","Yes",NA,"No","No","No","No","No","No","5.4","No","No","No","36.116839","-86.787007"
"40","No"," ","No","No","No","No","No","Granbery Park","No","No","0","No","No","Yes","Yes","No","No","{""address"":""5501 Hill Rd"",""city"":""Nashville"",""state"":""TN"",""zip"":""""}",FALSE,"No","No","Yes","No","Yes","No","No","No","No","No","No","No","6.95","No","No","No",NA,NA
"41","No"," ","No","No","No","No","No","Grassmere / Nashville Zoo","No","No","0","No","No","No","No","No","No","{""address"":""3777 Nolensville Pike"",""city"":""Nashville"",""state"":""TN"",""zip"":""""}",FALSE,"No","No","No","No","No","No","No","No","No","No","No","No","196.59","No","No","No","36.091155","-86.73491"
